Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,41758,AD1,A,1,,,A,Open,Discussion/Recitation,DIS,09:00 AM,09:50 AM,F,G32,"Literatures, Cultures, & Ling","Siglos, D;Wang, Y"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,47100,AD2,A,1,,,A,Open,Discussion/Recitation,DIS,10:00 AM,10:50 AM,F,G32,"Literatures, Cultures, & Ling","Siglos, D;Wang, Y"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,47102,AD3,A,1,,,A,Open,Discussion/Recitation,DIS,10:00 AM,10:50 AM,F,106B6,Engineering Hall,"Charity, H;Siglos, D"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,51248,AD4,A,1,,,A,Open,Discussion/Recitation,DIS,11:00 AM,11:50 AM,F,106B6,Engineering Hall,"Charity, H;Siglos, D"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,51249,AD5,A,1,,,A,Open,Discussion/Recitation,DIS,11:00 AM,11:50 AM,F,G36,"Literatures, Cultures, & Ling","Kim, G;Siglos, D"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,51932,AD6,A,1,,,A,Closed,Discussion/Recitation,DIS,12:00 PM,12:50 PM,F,G24,"Literatures, Cultures, & Ling","Kim, G;Siglos, D"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,59818,AD7,A,1,,,A,Closed,Discussion/Recitation,DIS,01:00 PM,01:50 PM,F,1136,"Literatures, Cultures, & Ling","Roy, S;Siglos, D"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,59819,AD8,A,1,,,A,Open,Discussion/Recitation,DIS,02:00 PM,02:50 PM,F,1038,"Literatures, Cultures, & Ling","Roy, S;Siglos, D"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,59820,AD9,A,1,,,A,Closed,Discussion/Recitation,DIS,01:00 PM,01:50 PM,F,37,Education Building,"Mukhopadhyay, A;Siglos, D"
2024,Fall,2024-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,59821,ADA,A,1,,,A,Open,Discussion/Recitation,DIS,02:00 PM,02:50 PM,F,37,Education Building,"Mukhopadhyay, A;Siglos, D"
