Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Students
2024,Winter,2024-wi,ADV,150,Introduction to Advertising,ONL,22,18,1,0,1,0,0,0,0,0,0,0,0,0,"Hall, Steven R",42
2024,Winter,2024-wi,AFRO,100,Intro to African American St,ONL,5,8,6,1,1,1,0,1,1,0,0,0,1,0,"McMillion, Desiree Y",25
2024,Winter,2024-wi,ASTR,330,Extraterrestrial Life,ONL,1,16,8,5,2,1,1,0,2,0,1,0,0,0,"Dunne, Bryan C",37
2024,Winter,2024-wi,ATMS,120,Severe and Hazardous Weather,ONL,3,16,3,2,12,0,2,2,1,1,1,1,2,0,"Choate, Jessica J",46
2024,Winter,2024-wi,BADM,275,Operations Management,ONL,0,49,17,5,5,0,2,3,0,0,0,0,0,0,"Hu, Junqi",81
2024,Winter,2024-wi,BADM,300,The Legal Environment of Bus,ONL,72,75,17,11,0,1,1,1,0,0,0,0,1,0,"Wright, Margaret",179
2024,Winter,2024-wi,BADM,310,Mgmt and Organizational Beh,ONL,19,98,10,3,1,0,0,2,0,0,0,0,1,0,"Ji, Mingshuang",134
2024,Winter,2024-wi,BADM,320,Principles of Marketing,ONL,28,54,7,4,8,2,3,0,0,0,0,0,0,0,"Liu, Yunchuan",106
2024,Winter,2024-wi,BADM,350,IT for Networked Organizations,ONL,0,17,0,1,1,0,1,1,0,0,0,0,0,0,"Sachdev, Vishal",21
2024,Winter,2024-wi,BADM,380,International Business,ONL,5,21,4,3,0,1,0,1,1,0,0,0,1,0,"Bucheli, Marcelo",37
2024,Winter,2024-wi,CLCV,115,Mythology of Greece and Rome,ONL,4,5,3,2,2,3,3,0,0,0,0,0,1,0,"Jennings, Elisa T",23
2024,Winter,2024-wi,ECON,102,Microeconomic Principles,ONL,53,42,23,6,4,3,1,2,0,0,0,0,0,0,"DiIanni, Isaac",134
2024,Winter,2024-wi,ECON,103,Macroeconomic Principles,ONL,5,21,15,11,11,3,1,1,1,0,2,0,1,0,"Vazquez, Jose J",72
2024,Winter,2024-wi,ECON,202,Economic Statistics I,ONL,1,2,0,1,1,3,0,5,0,0,6,0,3,2,"Schultz, Colleen",22
2024,Winter,2024-wi,ESE,360,Environmental Writing,ONL,0,4,4,3,3,2,1,1,0,0,0,0,3,0,"Tomkin, Jonathan H",21
2024,Winter,2024-wi,GGIS,204,Cities of the World,ONL,5,9,2,2,2,0,1,0,0,0,0,0,0,1,"Pierce, Colt A",21
2024,Winter,2024-wi,GLBL,100,Intro to Global Studies,ONL,5,7,3,2,3,1,0,0,0,0,0,0,0,0,"Schrag, David M",21
2024,Winter,2024-wi,IHLT,232,Health Equity in the U.S.,ONL,20,11,3,0,0,1,0,1,2,0,0,1,1,0,"Quintero Silva, Laura M",40
2024,Winter,2024-wi,MACS,356,Sex & Gender in Popular Media,ONL,0,22,0,0,4,0,0,2,0,0,0,0,1,2,"Robinson, Jessica L",29
2024,Winter,2024-wi,MUS,132,Popular Music Studies,ONL,137,59,22,11,4,6,2,2,3,0,1,0,3,1,"Eagen-Jones, Megan K",250
2024,Winter,2024-wi,MUS,133,Introduction to World Music,ONL,147,6,1,0,0,0,2,1,0,0,0,0,2,0,"Silvers, Michael B",159
2024,Winter,2024-wi,PS,241,Comp Politics in Dev Nations,ONL,5,4,3,1,2,0,1,2,0,1,3,0,0,0,"Shen, Shuyuan",22
2024,Winter,2024-wi,PSYC,100,Intro Psych,ONL,0,10,9,9,21,6,8,6,0,1,0,0,2,1,"Shenouda, Christine K",72
2024,Winter,2024-wi,PSYC,204,Intro to Brain and Cognition,ONL,5,24,9,2,3,7,2,3,0,0,0,1,0,1,"Dolcos, Sanda M",56
2024,Winter,2024-wi,PSYC,230,Perception & Sensory Processes,ONL,8,2,1,4,3,1,1,0,0,0,1,0,0,0,"Lleras Buetti, Simona",21
2024,Winter,2024-wi,REHB,330,Disability in American Society,ONL,5,6,2,5,2,0,1,0,0,0,0,0,0,0,"Rice, Laura A",21
2024,Winter,2024-wi,REL,110,World Religions,ONL,0,54,14,8,9,3,0,3,0,1,3,1,2,0,"Layton, Richard A",98
2024,Winter,2024-wi,RST,100,RST in Modern Society,ONL,0,31,0,0,2,0,0,0,0,0,0,0,0,0,"Hill, Patrick J",33
2024,Winter,2024-wi,SOC,100,Introduction to Sociology,OLC,0,46,2,6,0,0,0,0,0,0,1,0,0,0,"Miles, Brittney S",55
2024,Winter,2024-wi,SOC,101,Sociology of Gender,OLC,11,4,3,2,2,0,0,0,0,0,0,1,0,0,"Moussawi, Ghassan",23
2024,Winter,2024-wi,SPAN,130,Intermediate Spanish,ONL,6,14,3,1,0,2,1,1,0,0,0,0,1,1,"Abbott, Annie R",29
2024,Winter,2024-wi,SPAN,142,Spanish in the Professions,ONL,10,7,2,3,2,1,0,1,0,0,1,0,1,0,"Krushnowski, Jude P",28
2023,Fall,2023-fa,AAS,100,Intro Asian American Studies,DIS,4,7,8,5,0,1,0,0,0,0,0,0,1,0,"Zheng, Reanne",26
2023,Fall,2023-fa,AAS,100,Intro Asian American Studies,DIS,7,9,1,2,4,0,0,0,2,1,0,0,0,0,"Zheng, Reanne",26
2023,Fall,2023-fa,AAS,100,Intro Asian American Studies,DIS,0,4,5,3,5,3,2,1,1,1,0,0,1,0,"Chapekar, Priyanka Anand",26
2023,Fall,2023-fa,AAS,100,Intro Asian American Studies,DIS,0,9,7,0,2,1,2,0,0,0,0,1,2,0,"Chapekar, Priyanka Anand",24
2023,Fall,2023-fa,AAS,100,Intro Asian American Studies,DIS,5,5,1,3,3,3,2,0,0,0,1,0,3,1,"Roy, Sayak",26
